product_id,score_mean,score_count,score_std,helpful_votes_sum,helpful_votes_mean,total_votes_sum,total_votes_mean,cluster,pca_1,pca_2
1588465934,4.25,4,0.9574271077563381,7,1.75,7,1.75,0,-0.6199341754549621,-0.33435390713781543
B00000J3Q2,3.8,15,1.3732131246511905,99,6.6,108,7.2,0,0.8124470547186857,1.1265277975556007
B00000J438,3.2,10,1.6193277068654826,65,6.5,69,6.9,0,0.6421252971534921,1.3511868389844701
B00000JHVO,3.7,10,1.4181364924121764,62,6.2,74,7.4,0,0.6277305410473317,1.2073231980283956
B00001OPI2,4.0,5,1.414213562373095,10,2.0,11,2.2,0,-0.5080673711793224,-0.11732788686082667
B00001OPI3,4.0,3,1.7320508075688772,9,3.0,18,6.0,0,-0.06963791874013749,0.5922556563794668
B00001W0DF,4.055555555555555,18,1.4741786236338814,52,2.888888888888889,58,3.2222222222222223,0,-0.08838119012045698,0.009322198157976854
B00001W0E5,3.227272727272727,22,1.509708839220589,156,7.090909090909091,176,8.0,0,1.2353367572193357,1.3360687027087974
B00001W0EC,1.5,6,1.224744871391589,36,6.0,38,6.333333333333333,0,0.4488928149705999,1.6572736418164113
B00001W0EQ,3.6944444444444446,216,1.413939463414736,875,4.050925925925926,994,4.601851851851852,1,4.592234038981537,-2.112682377416327
B00001W0ET,3.477064220183486,109,1.5669995525492126,384,3.522935779816514,495,4.541284403669724,0,2.0591007607572194,-0.6945986896689114
B00001X5EP,2.3333333333333335,3,2.3094010767585034,27,9.0,30,10.0,0,1.0400771558516297,2.5937208071439684
B000022449,3.8181818181818183,11,1.662418829187267,106,9.636363636363637,119,10.818181818181818,0,1.4600675747824514,2.1412732429650774
B000022582,4.5,4,1.0,4,1.0,5,1.25,0,-0.7576136241026441,-0.5784091463960503
B00002AH30,3.6666666666666665,3,0.5773502691896258,43,14.333333333333334,53,17.666666666666668,1,2.1935691106977777,3.8509664481056896
B00004K78H,1.5,6,0.5477225575051661,50,8.333333333333334,57,9.5,0,0.9929484042978303,2.3331478912843497
B00004RIWJ,4.0,5,1.4142135623730951,32,6.4,38,7.6,0,0.5012819940573192,1.2706900742592406
B00004S54N,2.4444444444444446,9,1.5898986690282426,54,6.0,77,8.555555555555555,0,0.7394540434027679,1.6871496326207258
B00004TDWX,3.466666666666667,15,1.1254628677422756,142,9.466666666666667,152,10.133333333333333,0,1.5299729988489952,1.960151148057313
B00004U8JT,4.190476190476191,21,1.4703417160322843,172,8.19047619047619,202,9.619047619047619,0,1.5241127399325192,1.4421432643978214
B00004U8KM,3.358974358974359,78,1.587077351238596,551,7.064102564102564,572,7.333333333333333,1,3.0104902271965184,0.23579745960444948
B00004VX9R,3.8205128205128207,39,1.4303439938073579,201,5.153846153846154,229,5.871794871794871,0,1.106048658399971,0.39696348728046493
B00004W3HO,3.6491228070175437,57,1.6200884904201933,126,2.210526315789474,263,4.614035087719298,0,0.6896640343432563,-0.23062106975811417
B00004W644,2.75,4,1.707825127659933,9,2.25,10,2.5,0,-0.4075418323104184,0.33734577455706966
B00004W64A,4.166666666666667,6,0.983192080250175,57,9.5,62,10.333333333333334,0,1.1316220313145544,1.9878496291210899
B00004W64Y,3.909090909090909,11,1.2210278829367867,78,7.090909090909091,86,7.818181818181818,0,0.800724972348253,1.2971480023111541
B00004W6BV,2.642857142857143,14,1.3926810257774174,50,3.5714285714285716,57,4.071428571428571,0,0.07516567512093573,0.6148704098124071
B00004W6C5,4.333333333333333,3,1.1547005383792517,24,8.0,28,9.333333333333334,0,0.7460954726769199,1.663679155616012
B00004W6CE,4.666666666666667,6,0.5163977794943221,11,1.8333333333333333,11,1.8333333333333333,0,-0.6127042868722895,-0.49752148009590996
B00004W6DU,2.5,8,1.6903085094570331,21,2.625,21,2.625,0,-0.2835858902354067,0.4367074875051109
B00004W6DV,2.032258064516129,31,1.25123594811269,126,4.064516129032258,143,4.612903225806452,0,0.5901253714578792,0.6758168954012725
B00004W6DW,2.625,16,1.6278820596099706,105,6.5625,106,6.625,0,0.8290420447274025,1.377809981868793
B00004W6N7,3.875,8,1.5526475085202973,54,6.75,58,7.25,0,0.6170170159508694,1.2823238964704329
B00004W6NG,3.740740740740741,54,1.5922594031715183,202,3.740740740740741,308,5.703703703703703,0,1.1663377767593612,0.044657499589435934
B00004W6NW,4.333333333333333,3,1.1547005383792517,5,1.6666666666666667,6,2.0,0,-0.6131664493128858,-0.3019472763075088
B00004W6O7,4.666666666666667,3,0.5773502691896258,4,1.3333333333333333,9,3.0,0,-0.5981674143841019,-0.3956639520965779
B00004W6O8,4.333333333333333,3,0.5773502691896258,1,0.3333333333333333,3,1.0,0,-0.8760912048571788,-0.7263972555127239
B00004W6UM,3.9,10,1.3703203194062978,86,8.6,94,9.4,0,1.1246925743299108,1.7671502112570616
B00004W6UZ,2.6,10,1.1737877907772674,63,6.3,71,7.1,0,0.6391214252507164,1.4395258464160654
B00004W6V0,2.823529411764706,17,1.3339459376998313,91,5.352941176470588,96,5.647058823529412,0,0.5573296991688597,0.9736740442758973
B00004W6V7,3.5,8,2.0701966780270626,25,3.125,38,4.75,0,-0.03407814892725467,0.5705235002477783
B00004W6V9,2.8333333333333335,12,1.5275252316519468,77,6.416666666666667,98,8.166666666666666,0,0.8352946286789239,1.5410324908150765
B00004W6VB,2.7916666666666665,24,1.7687914485336582,216,9.0,238,9.916666666666666,1,1.871609258384044,1.9352913102852423
B00004W6VH,3.6666666666666665,3,2.3094010767585034,52,17.333333333333332,55,18.333333333333332,1,2.6625094366166926,4.664007647920767
B00004W6VJ,1.6666666666666667,3,1.1547005383792517,32,10.666666666666666,41,13.666666666666666,1,1.5264989074958177,3.3466360030349374
B00004W6VV,4.0,3,0.0,15,5.0,16,5.333333333333333,0,0.016306850465150534,0.5924814995163651
B00004W6Y6,2.923076923076923,26,1.3834182859302366,188,7.230769230769231,216,8.307692307692308,0,1.440475187411722,1.3785406712265111
B00004W6YO,3.6956521739130435,23,1.4904173487710706,79,3.4347826086956523,97,4.217391304347826,0,0.21782576424108568,0.2427596096259127
B00004W6YW,3.3333333333333335,27,1.3867504905630728,54,2.0,64,2.3703703703703702,0,-0.16944209662285561,-0.12763331847575937
B00004W6Z0,4.8,5,0.44721359549995787,32,6.4,33,6.6,0,0.3368483238231204,0.8016089391872582
B00004W6Z6,3.0,12,1.7580981459830651,84,7.0,93,7.75,0,0.872382253180286,1.5685978167788945
B00004W6Z7,5.0,3,0.0,24,8.0,24,8.0,0,0.5517111908999203,1.1594595108931298
B00004W6Z8,3.6666666666666665,3,1.5275252316519465,2,0.6666666666666666,2,0.6666666666666666,0,-0.8029120586513399,-0.408914973634385
B00004W6ZA,3.142857142857143,7,1.864454471471609,15,2.142857142857143,19,2.7142857142857144,0,-0.3638919130858765,0.23759366161982298
B00004W6ZQ,2.5,6,1.51657508881031,5,0.8333333333333334,6,1.0,0,-0.6865989578054412,-0.05723598325219828
B00004W6ZU,3.5,4,1.2909944487358056,4,1.0,8,2.0,0,-0.6401874069127245,-0.18178137567788963
B00004W74O,4.8,5,0.44721359549995787,24,4.8,45,9.0,0,0.3749289672510981,0.8473106488848371
B00004W74R,3.3333333333333335,3,1.5275252316519465,19,6.333333333333333,23,7.666666666666667,0,0.4646019280325663,1.4928069071722916
B00004W76Q,4.666666666666667,3,0.5773502691896257,25,8.333333333333334,26,8.666666666666666,0,0.6858956714633669,1.465787136118036
B00004W776,4.666666666666667,3,0.5773502691896258,5,1.6666666666666667,6,2.0,0,-0.6506851840044934,-0.469012718894615
B00004W77L,4.0,4,1.1547005383792515,9,2.25,11,2.75,0,-0.454401188303965,-0.034045264693228
B00004W77R,4.928571428571429,14,0.26726124191242445,23,1.6428571428571428,31,2.2142857142857144,0,-0.5190244516190969,-0.6528094711840926
B00004W77X,3.2,5,2.04939015319192,59,11.8,77,15.4,1,1.9058741889520125,3.419050064011776
B00004W78I,2.5555555555555554,9,1.8782379449307742,122,13.555555555555555,141,15.666666666666666,1,2.3957486775750483,3.7583248311597304
B00004WHF3,3.814814814814815,27,0.8337605742398085,150,5.555555555555555,166,6.148148148148148,0,0.8636120419696836,0.5800870193485365
B00004WHF4,4.559322033898305,59,0.7937511648794703,171,2.8983050847457625,255,4.322033898305085,0,0.7652261737751453,-0.5571743408809802
B00004WHFG,3.5,6,0.8366600265340756,173,28.833333333333332,187,31.166666666666668,1,5.393659178951648,7.841245764440474
B00004WHS8,4.052631578947368,19,1.223550580642996,98,5.157894736842105,99,5.2105263157894735,0,0.48180279158148365,0.5283120586465961
B00004WINO,2.75,4,1.5,4,1.0,4,1.0,0,-0.694985432495316,-0.08380052182209147
B00004WINT,3.4953703703703702,216,1.5371301716228691,631,2.9212962962962963,705,3.263888888888889,1,3.3462229076880665,-1.9537858731433504
B00004WIO5,5.0,3,0.0,32,10.666666666666666,32,10.666666666666666,0,1.0863435330870643,1.9333794528981902
B00004WYPX,3.0,3,2.0,30,10.0,69,23.0,1,2.276902612931033,4.197754724613756
B00004WYQ2,3.0,3,1.7320508075688772,9,3.0,21,7.0,0,0.0560925319825221,0.9809819595327295
B00004WYQ3,3.0,4,1.8257418583505538,8,2.0,8,2.0,0,-0.4852918101350876,0.18455758760938912
B00004WYQF,3.25,4,1.707825127659933,19,4.75,20,5.0,0,0.08532909601667779,0.9280285196093094
B00004WYQH,4.25,4,0.5,24,6.0,34,8.5,0,0.45651043574348776,1.1455349611702885
B00004XMP8,2.1666666666666665,6,1.602081978759722,30,5.0,39,6.5,0,0.3394275364980389,1.396719054281634
B00004XQ4E,1.0,3,0.0,34,11.333333333333334,34,11.333333333333334,0,1.364882984343136,3.171498372366498
B00004XQ4F,3.6,5,1.140175425099138,1,0.2,6,1.2,0,-0.8063213315318223,-0.466150644037046
B00004XQ4K,2.6,5,1.140175425099138,27,5.4,30,6.0,0,0.2759116101513308,1.235861078865413
B00004Y5Q5,4.0,3,1.7320508075688772,28,9.333333333333334,71,23.666666666666668,1,2.2145617993014968,3.876069974805178
B00004Y5QH,2.3333333333333335,3,2.3094010767585034,0,0.0,0,0.0,0,-0.8538171083253199,-0.1458255667846129
B00004Y5QI,3.6666666666666665,3,1.5275252316519465,0,0.0,0,0.0,0,-0.9365701441981258,-0.60239495913565
B00004Y73B,3.6666666666666665,3,2.3094010767585034,3,1.0,5,1.6666666666666667,0,-0.6419503623780106,-0.11877418674739446
B00004YMAO,3.6666666666666665,9,1.4142135623730951,100,11.11111111111111,102,11.333333333333334,1,1.5997557336954735,2.4866826641399955
B00004YMAZ,2.875,8,1.5526475085202969,31,3.875,36,4.5,0,0.03292713721488557,0.7492538401767421
B00004Z7MY,4.090909090909091,11,1.2210278829367867,18,1.6363636363636365,35,3.1818181818181817,0,-0.38570933230521637,-0.1588114939543826
B0000505V8,4.333333333333333,3,1.1547005383792517,0,0.0,0,0.0,0,-0.9771483662782968,-0.8281694299478389
B0000505VU,2.3333333333333335,3,1.5275252316519468,0,0.0,4,1.3333333333333333,0,-0.7689295432345796,-0.08409322159796627
B0000505VX,2.6666666666666665,3,2.0816659994661326,43,14.333333333333334,43,14.333333333333334,1,1.9977214225689184,3.8953801675114685
B0000505W2,2.3333333333333335,3,2.3094010767585034,19,6.333333333333333,19,6.333333333333333,0,0.41593470436914726,1.6922342954774054
B0000505WF,3.6666666666666665,3,2.3094010767585034,1,0.3333333333333333,2,0.6666666666666666,0,-0.8054451510232427,-0.354776362135827
B0000505WR,3.2857142857142856,7,1.1126972805283737,40,5.714285714285714,41,5.857142857142857,0,0.3284024958891965,1.0546537106132101
B0000505WS,3.5,4,1.9148542155126764,14,3.5,26,6.5,0,0.08063814146165833,0.8796470034383097
B0000505WT,4.625,8,0.5175491695067655,28,3.5,29,3.625,0,-0.20749949011643573,-0.01884389991133206
B0000505WY,2.347826086956522,23,1.5553045785362463,95,4.130434782608695,111,4.826086956521739,0,0.4526298997638021,0.7719286047441524
B0000505WZ,3.5454545454545454,11,1.4396969378057567,64,5.818181818181818,74,6.7272727272727275,0,0.547300465384057,1.0926672181812402
B0000505X0,3.125,8,1.6420805617960927,112,14.0,147,18.375,1,2.6223258606351365,4.013031118109088
B0000505XH,2.8333333333333335,12,1.6966991126265962,58,4.833333333333333,62,5.166666666666667,0,0.3216325789228939,0.9577660141349679
B000050FGA,4.142857142857143,7,0.8997354108424372,40,5.714285714285714,44,6.285714285714286,0,0.32918575458677457,0.8547390234407821
B000050ZFA,3.5,4,1.9148542155126764,16,4.0,23,5.75,0,0.06886600469649512,0.8653319998225983
B000050ZFC,4.0,4,0.0,25,6.25,31,7.75,0,0.40345268032156356,1.0868045387843275
B000050ZFJ,3.6666666666666665,3,2.3094010767585034,9,3.0,11,3.6666666666666665,0,-0.2409761057376525,0.4616657697564008
B000050ZFK,3.5,12,1.8829377433825432,47,3.9166666666666665,50,4.166666666666667,0,0.08098739887021221,0.5474865273698614
B000050ZFL,3.5714285714285716,7,1.6183471874253743,62,8.857142857142858,69,9.857142857142858,0,1.1019669117436315,2.0475727499919
B000050ZFN,5.0,3,0.0,6,2.0,8,2.6666666666666665,0,-0.5915381728242618,-0.49681597884392104
B000051WAP,3.8,5,1.6431676725154984,12,2.4,13,2.6,0,-0.4074136154467783,0.08134975369799226
B000051WAV,2.3333333333333335,3,2.3094010767585034,31,10.333333333333334,32,10.666666666666666,0,1.2477199207483096,2.895636398372164
B000051WAY,2.75,4,2.0615528128088303,9,2.25,9,2.25,0,-0.4147458293094386,0.3546536886361708
B0000520T2,4.666666666666667,3,0.5773502691896257,3,1.0,3,1.0,0,-0.8141799726497255,-0.7050148942830475
B0000520T3,2.6666666666666665,3,1.1547005383792517,14,4.666666666666667,15,5.0,0,0.04866217135985366,1.0039788809344516
B0000520T6,3.75,4,1.5,0,0.0,0,0.0,0,-0.93559821353894,-0.6334653000331001
B0000520T7,4.333333333333333,3,1.1547005383792517,18,6.0,19,6.333333333333333,0,0.2556111067412234,0.9556726294507143
B0000520TA,4.666666666666667,3,0.5773502691896257,6,2.0,8,2.6666666666666665,0,-0.5540194381326542,-0.32975053625681505
